Filename	Noise	Metric	Value
/data/ds114/sub-02/ses-test/anat/sub-02_ses-test_T1w.nii.gz	Rician	CC	8.881092071533203e-06
/data/ds114/sub-02/ses-test/anat/sub-02_ses-test_T1w.nii.gz	Rician	MSE	7.2234876614366925
/data/ds114/sub-02/ses-test/anat/sub-02_ses-test_T1w.nii.gz	Rician	CNRMSE	0.008145625116330142
/data/ds114/sub-02/ses-test/anat/sub-02_ses-test_T1w.nii.gz	Rician	SSIM	0.26385040378739777
/data/ds114/sub-02/ses-test/anat/sub-02_ses-test_T1w.nii.gz	Rician	NMI	-0.7774997399043511
/data/ds114/sub-03/ses-retest/anat/sub-03_ses-retest_T1w.nii.gz	1-voxel	CC	0.0
/data/ds114/sub-03/ses-retest/anat/sub-03_ses-retest_T1w.nii.gz	1-voxel	MSE	0.0003759922125400641
/data/ds114/sub-03/ses-retest/anat/sub-03_ses-retest_T1w.nii.gz	1-voxel	CNRMSE	7.605649231233297e-05
/data/ds114/sub-03/ses-retest/anat/sub-03_ses-retest_T1w.nii.gz	1-voxel	SSIM	6.142218966775914e-08
/data/ds114/sub-03/ses-retest/anat/sub-03_ses-retest_T1w.nii.gz	1-voxel	NMI	-0.9999855416424195
/data/ds114/sub-03/ses-retest/anat/sub-03_ses-retest_T1w.nii.gz	Rician	CC	1.0848045349121094e-05
/data/ds114/sub-03/ses-retest/anat/sub-03_ses-retest_T1w.nii.gz	Rician	MSE	7.221240165127706
/data/ds114/sub-03/ses-retest/anat/sub-03_ses-retest_T1w.nii.gz	Rician	CNRMSE	0.010518790348418036
/data/ds114/sub-03/ses-retest/anat/sub-03_ses-retest_T1w.nii.gz	Rician	SSIM	0.4379860538335473
/data/ds114/sub-03/ses-retest/anat/sub-03_ses-retest_T1w.nii.gz	Rician	NMI	-0.8091089757211174
/data/ds114/sub-03/ses-test/anat/sub-03_ses-test_T1w.nii.gz	1-voxel	CC	0.0
/data/ds114/sub-03/ses-test/anat/sub-03_ses-test_T1w.nii.gz	1-voxel	MSE	0.0005501967210036058
/data/ds114/sub-03/ses-test/anat/sub-03_ses-test_T1w.nii.gz	1-voxel	CNRMSE	7.98576430562857e-05
/data/ds114/sub-03/ses-test/anat/sub-03_ses-test_T1w.nii.gz	1-voxel	SSIM	2.1839222874575626e-08
/data/ds114/sub-03/ses-test/anat/sub-03_ses-test_T1w.nii.gz	1-voxel	NMI	-0.9999853987984291
/data/ds114/sub-03/ses-test/anat/sub-03_ses-test_T1w.nii.gz	Rician	CC	6.973743438720703e-06
/data/ds114/sub-03/ses-test/anat/sub-03_ses-test_T1w.nii.gz	Rician	MSE	7.224917223192137
/data/ds114/sub-03/ses-test/anat/sub-03_ses-test_T1w.nii.gz	Rician	CNRMSE	0.009135129667724317
/data/ds114/sub-03/ses-test/anat/sub-03_ses-test_T1w.nii.gz	Rician	SSIM	0.47328026598863715
/data/ds114/sub-03/ses-test/anat/sub-03_ses-test_T1w.nii.gz	Rician	NMI	-0.7611159020960796
/data/ds114/sub-04/ses-retest/anat/sub-04_ses-retest_T1w.nii.gz	1-voxel	CC	5.960464477539063e-08
/data/ds114/sub-04/ses-retest/anat/sub-04_ses-retest_T1w.nii.gz	1-voxel	MSE	0.008028690631573018
/data/ds114/sub-04/ses-retest/anat/sub-04_ses-retest_T1w.nii.gz	1-voxel	CNRMSE	0.00024376606560344002
/data/ds114/sub-04/ses-retest/anat/sub-04_ses-retest_T1w.nii.gz	1-voxel	SSIM	2.7943860904100504e-06
/data/ds114/sub-04/ses-retest/anat/sub-04_ses-retest_T1w.nii.gz	1-voxel	NMI	-0.9999575042943221
/data/ds114/sub-04/ses-retest/anat/sub-04_ses-retest_T1w.nii.gz	Rician	CC	7.569789886474609e-06
/data/ds114/sub-04/ses-retest/anat/sub-04_ses-retest_T1w.nii.gz	Rician	MSE	7.222392834547001
/data/ds114/sub-04/ses-retest/anat/sub-04_ses-retest_T1w.nii.gz	Rician	CNRMSE	0.007299429272498466
